,day,윤석열
0,2022.05.01,188
1,2022.05.02,357
2,2022.05.03,391
3,2022.05.04,333
4,2022.05.05,281
5,2022.05.06,267
6,2022.05.07,62
7,2022.05.08,205
8,2022.05.09,468
9,2022.05.10,689
10,2022.05.11,606
11,2022.05.12,481
12,2022.05.13,289
13,2022.05.14,73
14,2022.05.15,202
15,2022.05.16,457
16,2022.05.17,473
17,2022.05.18,485
18,2022.05.19,398
19,2022.05.20,273
20,2022.05.21,85
21,2022.05.22,264
22,2022.05.23,462
23,2022.05.24,379
24,2022.05.25,413
25,2022.05.26,351
26,2022.05.27,227
27,2022.05.28,53
28,2022.05.29,179
29,2022.05.30,338
30,2022.05.31,304
31,2022.06.01,248
32,2022.06.02,474
33,2022.06.03,241
34,2022.06.04,41
35,2022.06.05,77
36,2022.06.06,233
37,2022.06.07,355
38,2022.06.08,347
39,2022.06.09,356
40,2022.06.10,228
41,2022.06.11,61
42,2022.06.12,147
43,2022.06.13,331
44,2022.06.14,319
45,2022.06.15,314
46,2022.06.16,327
47,2022.06.17,239
48,2022.06.18,58
49,2022.06.19,129
50,2022.06.20,274
51,2022.06.21,291
52,2022.06.22,351
53,2022.06.23,319
54,2022.06.24,223
55,2022.06.25,48
56,2022.06.26,136
57,2022.06.27,301
58,2022.06.28,275
59,2022.06.29,311
60,2022.06.30,298
61,2022.07.01,186
62,2022.07.02,41
63,2022.07.03,137
64,2022.07.04,311
65,2022.07.05,314
66,2022.07.06,323
67,2022.07.07,307
68,2022.07.08,214
69,2022.07.09,56
70,2022.07.10,161
71,2022.07.11,324
72,2022.07.12,321
73,2022.07.13,281
74,2022.07.14,271
75,2022.07.15,177
76,2022.07.16,38
77,2022.07.17,129
78,2022.07.18,304
79,2022.07.19,344
80,2022.07.20,324
81,2022.07.21,283
82,2022.07.22,181
83,2022.07.23,48
84,2022.07.24,134
85,2022.07.25,291
86,2022.07.26,317
87,2022.07.27,297
88,2022.07.28,333
89,2022.07.29,215
90,2022.07.30,53
91,2022.07.31,131